2014-04-20T07:05:40.874Z	Master(10432/C1N0)	MySQL Error[1064]: ER_PARSE_ERROR	SELECT * FROM User INNER JOIN Followers ON                 User.id=Followers.follower_id WHERE target_id=2" ORDER BY date asc LIMIT 2
2014-04-20T07:07:59.847Z	Master(10432/C1N0)	MySQL Error[1065]: ER_EMPTY_QUERY	
2014-04-20T07:09:51.079Z	Master(10432/C1N0)	MySQL Error[1065]: ER_EMPTY_QUERY	
2014-04-20T07:26:59.329Z	Master(11111/C1N0)	TypeError: Cannot call method 'indexOf' of undefined; Object.db.openApplicationDatabases (/node_modules/impress/lib/db.js:45:51); /node_modules/impress/lib/impress.js:257:25; /node_modules/impress/lib/impress.js:171:45; /node_modules/impress/lib/impress.js:113:6; fs.js:266:14; /node_modules/impress/node_modules/npm/node_modules/graceful-fs/graceful-fs.js:103:5; Object.oncomplete (fs.js:107:15)
2014-04-20T07:28:25.814Z	Master(11288/C1N0)	{"code":"ENOENT","errno":"ENOENT","syscall":"connect","fatal":true}
2014-04-20T07:28:27.828Z	Master(11288/C1N0)	{"code":"ENOENT","errno":"ENOENT","syscall":"connect","fatal":true}
2014-04-20T07:28:29.833Z	Master(11288/C1N0)	{"code":"ENOENT","errno":"ENOENT","syscall":"connect","fatal":true}
2014-04-20T07:28:31.839Z	Master(11288/C1N0)	{"code":"ENOENT","errno":"ENOENT","syscall":"connect","fatal":true}
2014-04-20T07:28:33.851Z	Master(11288/C1N0)	{"code":"ENOENT","errno":"ENOENT","syscall":"connect","fatal":true}
2014-04-20T07:28:35.859Z	Master(11288/C1N0)	{"code":"ENOENT","errno":"ENOENT","syscall":"connect","fatal":true}
2014-04-20T07:28:37.869Z	Master(11288/C1N0)	{"code":"ENOENT","errno":"ENOENT","syscall":"connect","fatal":true}
2014-04-20T07:28:39.875Z	Master(11288/C1N0)	{"code":"ENOENT","errno":"ENOENT","syscall":"connect","fatal":true}
2014-04-20T07:28:41.884Z	Master(11288/C1N0)	{"code":"ENOENT","errno":"ENOENT","syscall":"connect","fatal":true}
2014-04-20T07:28:43.900Z	Master(11288/C1N0)	{"code":"ENOENT","errno":"ENOENT","syscall":"connect","fatal":true}
2014-04-20T07:28:45.903Z	Master(11288/C1N0)	{"code":"ENOENT","errno":"ENOENT","syscall":"connect","fatal":true}
2014-04-20T07:28:47.908Z	Master(11288/C1N0)	{"code":"ENOENT","errno":"ENOENT","syscall":"connect","fatal":true}
2014-04-20T07:28:49.911Z	Master(11288/C1N0)	{"code":"ENOENT","errno":"ENOENT","syscall":"connect","fatal":true}
2014-04-20T07:28:51.920Z	Master(11288/C1N0)	{"code":"ENOENT","errno":"ENOENT","syscall":"connect","fatal":true}
2014-04-20T07:28:53.927Z	Master(11288/C1N0)	{"code":"ENOENT","errno":"ENOENT","syscall":"connect","fatal":true}
2014-04-20T07:28:55.973Z	Master(11288/C1N0)	{"code":"ENOENT","errno":"ENOENT","syscall":"connect","fatal":true}
2014-04-20T07:28:57.980Z	Master(11288/C1N0)	{"code":"ENOENT","errno":"ENOENT","syscall":"connect","fatal":true}
2014-04-20T07:28:59.983Z	Master(11288/C1N0)	{"code":"ENOENT","errno":"ENOENT","syscall":"connect","fatal":true}
2014-04-20T07:29:01.989Z	Master(11288/C1N0)	{"code":"ENOENT","errno":"ENOENT","syscall":"connect","fatal":true}
2014-04-20T07:29:03.993Z	Master(11288/C1N0)	{"code":"ENOENT","errno":"ENOENT","syscall":"connect","fatal":true}
2014-04-20T18:08:42.459Z	Master(12996/C1N0)	ReferenceError: user is not defined; /sqlproject/app/api/user/updateProfile.json/post.js:76:33; /node_modules/mysql-utilities/utilities.js:96:5; Query.<anonymous> (/node_modules/mysql-utilities/utilities.js:40:19); Query.b [as _callback] (domain.js:183:18); Query.Sequence.end (/node_modules/mysql/lib/protocol/sequences/Sequence.js:78:24); Query._handleFinalResultPacket (/node_modules/mysql/lib/protocol/sequences/Query.js:143:8); Query.EofPacket (/node_modules/mysql/lib/protocol/sequences/Query.js:127:8); Protocol._parsePacket (/node_modules/mysql/lib/protocol/Protocol.js:202:24); Parser.write (/node_modules/mysql/lib/protocol/Parser.js:62:12); Protocol.write (/node_modules/mysql/lib/protocol/Protocol.js:37:16); Socket.<anonymous> (/node_modules/mysql/lib/Connection.js:72:28)
2014-04-20T18:20:04.743Z	Master(12996/C1N0)	TypeError: Object.keys called on non-object; Function.keys (native); /node_modules/mysql-utilities/utilities.js:108:49; /node_modules/mysql-utilities/utilities.js:96:5; Query.<anonymous> (/node_modules/mysql-utilities/utilities.js:40:19); Query.b [as _callback] (domain.js:183:18); Query.Sequence.end (/node_modules/mysql/lib/protocol/sequences/Sequence.js:78:24); Query._handleFinalResultPacket (/node_modules/mysql/lib/protocol/sequences/Query.js:143:8); Query.EofPacket (/node_modules/mysql/lib/protocol/sequences/Query.js:127:8); Protocol._parsePacket (/node_modules/mysql/lib/protocol/Protocol.js:202:24); Parser.write (/node_modules/mysql/lib/protocol/Parser.js:62:12); Protocol.write (/node_modules/mysql/lib/protocol/Protocol.js:37:16)
2014-04-20T18:23:31.410Z	Master(13920/C1N0)	TypeError: Object.keys called on non-object; Function.keys (native); /node_modules/mysql-utilities/utilities.js:108:49; /node_modules/mysql-utilities/utilities.js:96:5; Query.<anonymous> (/node_modules/mysql-utilities/utilities.js:40:19); Query.b [as _callback] (domain.js:183:18); Query.Sequence.end (/node_modules/mysql/lib/protocol/sequences/Sequence.js:78:24); Query._handleFinalResultPacket (/node_modules/mysql/lib/protocol/sequences/Query.js:143:8); Query.EofPacket (/node_modules/mysql/lib/protocol/sequences/Query.js:127:8); Protocol._parsePacket (/node_modules/mysql/lib/protocol/Protocol.js:202:24); Parser.write (/node_modules/mysql/lib/protocol/Parser.js:62:12)
2014-04-22T10:04:46.692Z	Master(13920/C1N0)	SyntaxError: Unexpected token :; new Script (vm.js:32:12); Function.Script.createScript (vm.js:48:10); /node_modules/impress/lib/impress.js:109:28; fs.js:266:14; /node_modules/impress/node_modules/npm/node_modules/graceful-fs/graceful-fs.js:103:5; Object.oncomplete (fs.js:107:15)
2014-04-22T10:08:51.783Z	Master(13920/C1N0)	SyntaxError: Unexpected token :; new Script (vm.js:32:12); Function.Script.createScript (vm.js:48:10); /node_modules/impress/lib/impress.js:109:28; fs.js:266:14; /node_modules/impress/node_modules/npm/node_modules/graceful-fs/graceful-fs.js:103:5; Object.oncomplete (fs.js:107:15)
